Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
soft-nitrile-gloves-4-mil-2000-case,,,,,,,,,Small,,,5008C-S,10432.62451,shopify,60,deny,manual,130.95,TRUE,TRUE,,,,,,
soft-nitrile-gloves-4-mil-2000-case,,,,,,,,,Medium,,,5008C-M,10432.62451,shopify,60,deny,manual,130.95,TRUE,TRUE,,,,,,
soft-nitrile-gloves-4-mil-2000-case,,,,,,,,,Large,,,5008C-L,10432.62451,shopify,60,deny,manual,130.95,TRUE,TRUE,,,,,,
soft-nitrile-gloves-4-mil-2000-case,,,,,,,,,Extra Large,,,5008C-XL,10432.62451,shopify,57,deny,manual,130.95,TRUE,TRUE,,,,,,
nitrile-gloves-4-mil-1000-case,"Nitrile Gloves, 4.0 mil, Powder-Free, 1000/case","<p>The Nitrile gloves do not contain natural rubber products (i.e. latex). Ideal for individuals allergic to natural rubber latex.</p>
<p>Blue Nitrile is a great value with exceptional strength, durability and comfort at an economical price. These gloves are manufactured to ISO 9001 standards, so you can work with confidence and count on the quality, consistency and performance of this best-selling nitrile glove. Excellent grip and dexterity to prevent hand fatigue. Ultra-soft and provides superior comfort to wearers. Cost Effective 100 gloves packing style. Great for use in dental offices, the laboratory or similar environments.</p>
<p><strong><em><span>Specifications of the gloves</span></em></strong></p>
<ul>
<li>Size: Small to Large <span> </span><a href=""https://lagunascientific.com/products/cool-blue-soft-nitrile-powder-free-gloves-extra-small-2000-case-1"" title=""https://lagunascientific.com/products/cool-blue-soft-nitrile-powder-free-gloves-extra-small-2000-case-1""><span><strong>(Extra Small &amp; Extra Large available in 2000/case; 5008C)</strong></span></a><br>
</li>
<li>Finger Thickness: 4.0 mil - High resistance to oil and grease</li>
<li>100 per Box</li>
<li>Powder Free</li>
<li>Ambidextrous with Beaded Cuff</li>
<li>No rubber latex protein content</li>
<li>Material: Nitrile</li>
<li>Color: Blue</li>
</ul>",laguna scientific,Business & Industrial > Medical > Medical Supplies > Disposable Gloves,simple,"gloves, nitrile, PPE",TRUE,Size,Extra Small,,,5008XS,4535.9237,shopify,50,deny,manual,75.00,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/files/download_49d4f227-465e-49d6-a630-5c040aeb1b1a.jpg?v=1726911400,1,"Nitrile Gloves, 4.0 mil, Powder-Free, 1000/case","Nitrile Gloves, 4.0 mil, Powder-Free, 1000/case | Laguna Scientific","Nitrile Gloves, 4.0 mil, Powder-Free, 1000/case from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
nitrile-gloves-4-mil-1000-case,,,,,,,,,Small,,,5008S,4535.9237,shopify,31,deny,manual,75.00,TRUE,TRUE,,,,,,
nitrile-gloves-4-mil-1000-case,,,,,,,,,Medium,,,5008M,4535.9237,shopify,-33,deny,manual,75.00,TRUE,TRUE,,,,,,
nitrile-gloves-4-mil-1000-case,,,,,,,,,Large,,,5008L,4989.51607,shopify,44,deny,manual,75.00,TRUE,TRUE,,,,,,
nitrile-gloves-4-mil-1000-case,,,,,,,,,Extra Large,,,5008XL,4989.51607,shopify,49,deny,manual,75.00,TRUE,TRUE,,,,,,
standard-pipette-tips-10-ul,"10 µl Pipette Tips, RNase/DNase/Endotoxin-Free","<p class=""MsoNormal"">Our pipette tips are engineered for all universal pipettes to fit snuggly for<span> </span><span>any discrete sampling procedure.  </span>Our Tips are crafted to provide exceptional precision and free of RNase, PCR inhibitors, endotoxins, and pyrogens.  </p>
<p class=""MsoNormal""><b>Features</b></p>
<ul type=""disc"">
<li class=""MsoNormal"">Designed for optimal performance engineered for universal pipettes</li>
<li class=""MsoNormal"">Certified Free of RNase, DNase, PCR Inhibitors, Endotoxins, and Pyrogens</li>
<li class=""MsoNormal"">100k clean room facility with automated manufacturing<br>
</li>
</ul>",laguna scientific,Business & Industrial > Science & Laboratory > Laboratory Supplies > Pipettes,simple,"pipette tips, liquid handling",TRUE,Format,"Bulk, 1000/bag",,,4000,453.59237,shopify,49,deny,manual,9.20,TRUE,TRUE,https://cdn.shopify.com/s/files/1/2705/6740/files/Unipet-Tips-range.012818.webp?v=1727072734,1,"10 µl Pipette Tips, RNase/DNase/Endotoxin-Free","10 µl Pipette Tips, RNase/DNase/Endotoxin-Free | Laguna Scientific","10 µl Pipette Tips, RNase/DNase/Endotoxin-Free from Laguna Scientific. Lab supplies and PPE. Volume pricing: 866-9-LAGUNA.",active
