Variant SKU,Handle,_title,Variant Price
BT1500-A05,copy-of-microtube-adapter-20-x-1-5-2-0ml-max-4,"Microtube adapter, 20 x 0.5ml (max. 4)",74.0
C1008-A2-6,copy-of-replacement-adapter-pack-0-5ml-6-pk,"Replacement adapter pack, 0.2ml 6/pk",19.0
C1008-A2-6,c1008-a2-6,0.2ml Replacement Adapter Pack for Benchmark Scientific microcentrifuge,24.08
C1008-A5-6,c1008-a5-6,Tube adaptors are compatible with any Benchmark Scientific microcentrifuge,24.08
C1008-A5-6,replacement-adapter-pack-0-5ml-6-pk,"Replacement adapter pack, 0.5ml 6/pk",19.0
H1000-MR-1000,copy-of-flask-clamp-for-h1000-mr-500ml-max-16,"Flask clamp for H1000-MR, 1L, max. 9",49.0
H1000-MR-1000,copy-of-flask-clamp-for-h1000-mr-500ml-max-6,"Flask clamp for H1000-MR, 1000ml max. 2",49.0
H1000-MR-1000,h1000-mr-1000,"MAGic Clamp™ magnetic clamp, 1000ml Erlenmeyer",61.6
H1000-MR-125,h1000-mr-125,"MAGic Clamp™ Tube Rack, 30 x 15ml, 20 x 50ml tubes",35.84
H1000-MR-125,copy-of-copy-of-flask-clamp-for-h1000-mr-50ml-max-49,"Flask clamp for H1000-MR, 125ml, max. 36",28.5
H1000-MR-125,copy-of-flask-clamp-for-h1000-mr-50ml-max-21,"Flask clamp for H1000-MR, 125ml, max.12",28.5
H1000-MR-1550,copy-of-clamp-for-1-x-microplate-for-h1000-mr-max-5,"Tube Rack for H1000-MR, 30x15ml & 20x50ml, max. 1",129.0
H1000-MR-1550,copy-of-clamp-for-1-x-microplate-for-h1000-mr-max-6,"Tube Rack for H1000-MR, 30x15ml & 20x50ml, max. 4",129.0
H1000-MR-1550,h1000-mr-1550,"MAGic Clamp™ Tube Rack, 30 x 15ml, 20 x 50ml tubes",161.28
H1000-MR-2000,h1000-mr-2000,"MAGic Clamp™ magnetic clamp, 2000ml Erlenmeyer (max. 5)",79.52
H1000-MR-2000,copy-of-flask-clamp-for-h1000-mr-1l-max-9,"Flask clamp for H1000-MR, 2L, max. 5",64.5
H1000-MR-25,copy-of-adjustable-flask-clamp-accepts-125ml-250ml-500ml-max-5x500-8x250-or-12x125ml,"Flask clamp for H1000-MR, 25ml, max.20",49.0
H1000-MR-25,copy-of-adjustable-flask-clamp-accepts-125ml-250ml-500ml-max-16x500-25x250-or-36x125ml,"Flask clamp for H1000-MR, 25ml, max.49",49.0
H1000-MR-250,copy-of-flask-clamp-for-h1000-mr-125ml-max-36,"Flask clamp for H1000-MR, 250ml, max. 25",31.5
H1000-MR-250,h1000-mr-250,"MAGic Clamp™ magnetic clamp, 250ml Erlenmeyer",40.32
H1000-MR-250,copy-of-flask-clamp-for-h1000-mr-125ml-max-12,"Flask clamp for H1000-MR, 250ml, max. 8",31.5
H1000-MR-3000,copy-of-flask-clamp-for-h1000-mr-2l-max-5,"Flask clamp for H1000-MR, 2.8L, max. 4",80.0
H1000-MR-3000,h1000-mr-3000,"MAGic Clamp™ magnetic clamp, 2.8/3L Erlenmeyer",99.68
H1000-MR-50,h1000-mr-50,"MAGic Clamp™ magnetic clamp, 50ml Erlenmeyer",33.6
H1000-MR-50,copy-of-flask-clamp-for-h1000-mr-25ml-max-49,"Flask clamp for H1000-MR, 50ml, max.49",26.0
H1000-MR-50,copy-of-flask-clamp-for-h1000-mr-25ml-max-20,"Flask clamp for H1000-MR, 50ml, max. 20",26.0
H1000-MR-500,h1000-mr-500,"MAGic Clamp™ magnetic clamp, 500ml Erlenmeyer",40.32
H1000-MR-500,copy-of-flask-clamp-for-h1000-mr-250ml-max-8,"Flask clamp for H1000-MR, 500ml, max. 5",32.0
H1000-MR-500,copy-of-flask-clamp-for-h1000-mr-250ml-max-25,"Flask clamp for H1000-MR, 500ml, max. 16",32.0
H1000-MR-CMB,h1000-mr-cmb,"MAGic Clamp™ COMBO, for 125ml, 250ml, 500ml flasks",47.32
H1000-MR-CMB,copy-of-spring-platform-for-unique-vessel-types-1,"ADJUSTABLE flask clamp, accepts 125ml, 250ml & 500ml (max. 5x500, 8x250 or 12x125ml)",36.5
H1000-MR-T15,copy-of-tube-rack-for-h1000-mr-30x15ml-20x50ml-max-1,"Tube Rack for H1000-MR, 32x15ml, max. 2",129.0
H1000-MR-T15,h1000-mr-t15,"MAGic Clamp™ Tube Rack, 32x15ml, tubes (max. 8)",161.28
H1000-MR-T15,copy-of-incu-shaker-mini-with-flat-mat-platform,"Tube Rack for H1000-MR, 32x15ml, max. 2",129.0
H1000-MR-T15,copy-of-tube-rack-for-h1000-mr-30x15ml-20x50ml-max-4,"Tube Rack for H1000-MR, 32x15ml, max. 8",129.0
H1000-MR-T150H,copy-of-tube-rack-12x1-5ml-horizontal-max-3,"Tube Rack, 4x15ml horizontal, max. 4",89.0
H1000-MR-T150H,h1000-mr-t150h,"MAGic Clamp™ Tube Rack, 4 x 15ml tubes, horizontal",111.89
H1000-MR-T150H,copy-of-tube-rack-12x1-5ml-horizontal-max-6,"Tube Rack, 4x15ml horizontal, max. 8",89.0
H1000-MR-T50,copy-of-tube-rack-for-h1000-mr-32x15ml-max-8,"Tube Rack for H1000-MR, 15x50ml, max. 8",129.0
H1000-MR-T50,h1000-mr-t50,"MAGic Clamp™ Tube Rack, 15 x 50ml",161.28
H1000-MR-T50,copy-of-tube-rack-for-h1000-mr-32x15ml-max-3,"Tube Rack for H1000-MR, 15x50ml, max. 2",129.0
