Handle,Title,Product Category
d1031-rf,Reinforced tubes (empty) pack of 500 with cap and sealing ring,
d1031-10,"Prefilled 2.0ml tubes, Silica (Glass) Beads, 1.0mm Acid Washed, 50pk",
d1031-05,"Prefilled 2.0ml tubes, Silica (Glass) Beads, 0.5mm Acid Washed, 50pk",
d1000-st,Benchmark Scientific D1000-ST Handheld Homogenizer Stand,
d1000-m7,"D1000-M7 REPLACEMENT GENERATOR PACK, 7MM X 50MM SAW TOOTH FOR MICROTUBES, PACK OF 5",
d1000-m14,BENCHMARK SCIENTIFIC Generator Probe: 14 mm x 130 mm,
c5000-6h-pt,C5000-6H-PT Sprint 6H Portable Centrifuge,Uncategorized
c3303-1215,"Benchmark Scientific C3303-1215 12 x 15ml Fixed Angle Rotor, Sprint 6H Plus Accessory, 1 Rotor/Unit",
c3100-adp,"Adapter,For Centrifuges,PK8 C3100-adp",
c2417-r5-adp2,"COMBI-Rotor™, the MC-24 Touch will accept 24×1.5/2.0ml tubes, 2 strips of 0.2ml tubes (16×0.2ml",Uncategorized
c2417-r5,Optional 8 x 5ml rotor for MC-24 centrifuge,
c2000-dwmp,Optional rotor with carriers for deep well plates up to 35mm tall (speed: 1500rpm),
c2000-a02,Benchmark Scientific PlateFuge MicroPlate MicroCentrifuge,
c1612,"High Speed Micro Centrifuge, 12 Place Rotor",
c1008-rot2,Benchmark Scientific C1008-ROT2 Strip Rotor for MyFuge Mini,
c1008-rot,Round Rotor 8 position,
c1008-group,Mini Centrifuge with 2 rotors,
c1008-a5-6,Tube adaptors are compatible with any Benchmark Scientific microcentrifuge,
c1008-a2-6,0.2ml Replacement Adapter Pack for Benchmark Scientific microcentrifuge,Uncategorized
c1005-t5-rk,Work Station Rack for 50 x 5ml tubes,
c1005-frz,"Freezer box for 5ml tubes, pack of 5",
c1005-ac2,"Adapter pack, for Cryovials (0.5 to 2.0ml) and 1.5/2.0ml HPLC vials FOR myFuge 5 Mini Centrifuge",Uncategorized
c1005,MyFuge 5 MicroCentrifuge,Uncategorized
bv101-r,Vornado Miniature Vortex Mixer,
bv1010-tst,Benchmixer™ XL Multi-Tube Vortexer includes 50x12mm tube rack,Uncategorized
bv1010-mp02,BenchMixer XL™ Microplate Rack for 96 x 0.2ml tubes or Strips,Uncategorized
bv1010-mp,BenchMixer™ XL is a heavy duty vortex mixer Rack for up to 3 microplates,
bv1010-50hq,Horizontal Tube Rack for 7 x 50ml QuEChERs,Uncategorized
bv1010-500,"Tube Rack for BenchMixer XL Multi Tube Vortex Mixer, 15 x 50ml Tube",
bv1010-25,"Tube Rack for BenchMixer XL Multi Tube Vortex Mixer, 15 x 25ml Tube",
bv1010-1520,"Tube Rack for BenchMixer XL Multi Tube Vortex Mixer, 50 x 1.5/2ml Tube, 10mm Diameter",
bv1010-150,"BenchMixerTM XL, this tube rack holds up to 50 x 15ml tubes",Uncategorized
bv1010-13,"Tube Rack for BenchMixer XL Multi Tube Vortex Mixer, 50 x 13mm Tube",
bv1010-12,BenchMixer XL Multi-Tube Vortexer,
bv1010-05,"Tube Rack for BenchMixer XL Multi Tube Vortex Mixer, 72 x 0.5ml Tube, 8mm Tube Diameter",
bv1010-00,Replacement Foam Sheet for BenchMixer XL™. (Pack of 2),
bv1010,BenchMixer XL Multi-Tube Vortexer,Uncategorized
bv1003-t500,Optional Foam Rack for 5 x 50 ml tubes,
bv1003-t150,Optional Foam Rack for 12 x 15ml Tubes,
bv1000-h500,"Optional horizontal head, for 2 x 50ml",
bv1000-h150,"Optional horizontal head, for 4 x 15ml",
bv1000-h15,"Optional horizontal head, for 12 x 1.5/2.0ml",
bv1000-flat,FLAT Vortexer Flat head for Vortex Mixer,
bv1000-combo,Optional combination head for one microplate & microtubes (38x1.5 & 28x0.5),
bv1000,BenchMixer Vortex Mixer,Uncategorized
bt4500,Orbi-Shaker CO2 with Remote Controller and Rubber,
bt3000-mr,"MAGic Clamp™ Universal Platform 14 x 12"" (for flasks/tubes)",
bt1500-a1520,"Optional Adapter, 20 x 1.5/2.0 ml for microplate shakers",
bt1500-a05,"Optional Adapter, 20 x 0.5 ml for microplate shakers",
bt1011,"Orbi-Shaker™ XL with Touch Screen Display and rubber mat platform (18""x18"")",Uncategorized
bswpcr2,"Block, 1 x 96-well PCR plate (2&4 block models only)",
bswpcr1,"Block, 1 x 96-well PCR plate (Single block model only)",
bswnmr,"Block, 30 x NMR tubes",
bswmt,"Block, 1 x Micro Plate (2 & 4 block models only)",
bswhem,"Block, 48 x hematocrit tubes, 1.9mm (not compatible with cover)",
bswcmb,"Quick-Flip Universal Block for Digital Dry Baths: Side 1: Holds 24 x 1.5ml/2.0ml and 14 x 0.5 ml Tubes · Side 2: Holds 6 x PCR strips, 48 x 0.2 ml or PCR plate",
bswbct,"Block, 12 x 13mm & 8 x 16mm (Blood Collection Combi-Block)",
bsw5mt,"Block, 12 x 5ml centrifuge tubes (17mm diameter)",
bsw50,Block for 5 x 50ml Centrifuge Tubes,
bsw2mts,"Block, for Microtube Strips (2.0ml) 6 strips",
bsw1520,Block for Centrifuge Tubes 24 x 1.5/2.0ml,
bsw1516,"Block, 12x15-16mm (or 12x10ml blood tube)",
bsw1500,"Block for Dry Baths, holds (24) 1.5ml",
bsw15,Block for 12 x 15ml Centrifuge Tubes,
bsw13,"Dry Bath Block, 20 x 13mm (5 and 7mL Tubes)",
bsw1232,"Block, 20 x HPLC/CryoVial",
bsw10,"Block, 20 x 10mm (or 20 x 2.0ml",
bsw05,"Block, 24 x 0.5ml centrifuge tubes",
bsw02,"Block, 48 x 0.2ml tubes or 6 PCR strips",
bsw01,Solid Block for Digital Dry Baths,
bsh-tp1,Temperature Probe for MyBlock and IsoBlock Dry Baths,
bsh6000,isoBlock Digital Dry Bath without Blocks BSH6000,
bsh200-hl,MyBlock™ Mini Dry Bath with a Heated Lid,
bsh200,MyBlock Mini Dry Bath,
bsh100-cv,"MyBlock™ Dry Baths, holds (8) Cuvettes, 12.5 x 12.5 x 32mm",
bsh100-cu,"Block, solid (for custom machining)",
bsh100-a12,Benchmark Scientific 12v vehicle power adapter,
bsh100-500,"MyBlock™ Dry Baths, holds (2) 50ml Centrifuge Tubes",
bsh1004,Four-Block Digital Dry Bath 115V,
bsh1002,Two-Block Digital Dry Bath,
bsh100-1520,Benchmark Scientific MyBlock Mini - 15 x 1.5/2.0mL,
bsh100-150,"Block for MyBlock™ Dry Baths, holds (4) 15ml Centrifuge Tubes",
bsh100-15,"Block for MyBlock™ Dry Baths, holds (15) 1.5ml Centrifuge Tubes. For Use With: MyBlock™ Mini Dry Baths",
bsh100-1232,Benchmark Scientific MyBlock Mini - For 15 x 2.0mL,
bsh1001,One-Block Digital Dry Bath 115V,
bsh1000-group,BSH1000 Series Digital Dry Baths,
bsh100-05,"Block for MyBlock™ Dry Baths, holds (24) 0.5ml",
bsh100-02,"Block, 40 x 0.2ml (or 5 x PCR strips)",
br2000-stack,"BenchRocker™ 2D Variable Speed Rocker with 14""x12"" flat mat platform",
br2000-flat,"BenchRocker™ 2D Variable Speed Rocker with 14""x12"" flat mat platform",
br2000,"BenchRocker™ 2D Variable Speed Rocker with 14""x12"" flat mat platform",Uncategorized
br1000-stack-d,"Stacking platform, large 12""x12"" with dimpled mat (",
br1000-stack,"Stacking platform, large 12""x12"" with flat mat (3.0"" separation",
br1000-flat,"Flat Mat, large 12"" x 12""",
b4000-pa,B4000-PA,
b4000-p,B4000-P,
